Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
kinship_family;backward_1;complex;100;0.5;1;rnm;[47.20494456291199, 0.8262842018988287];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5253, 0.0056];[0.5253, 0.0056];[0.5253, 0.0056];[0.5122, 0.0071];[0.5, 0.0];[0.5071, 0.0143];[0.5122, 0.0071];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;backward_1;complex;100;0.5;1;dcr;[58.763908338546756, 0.637659419268328];[0.0445, 0.0];[0.012, 0.0];[0.0484, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5529, 0.0058];[0.5242, 0.0059];[0.5528, 0.0057];[0.5113, 0.0046];[0.5, 0.0];[0.5, 0.0];[0.5113, 0.0046];[0.5, 0.0];[0.5, 0.0]
kinship_family;backward_1;complex;100;0.5;1;r2n;[60.90785260200501, 0.6632394139954806];[0.0133, 0.0001];[0.012, 0.0];[0.0145, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5247, 0.0056];[0.5247, 0.0056];[0.5247, 0.0056];[0.5097, 0.0042];[0.5, 0.0];[0.5, 0.0];[0.5097, 0.0042];[0.5, 0.0];[0.5, 0.0]
kinship_family;backward_1;complex;100;0.5;1;sbr;[47.50032548904419, 1.1369298216669066];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5253, 0.0056];[0.5253, 0.0056];[0.5253, 0.0056];[0.5122, 0.0071];[0.5, 0.0];[0.5071, 0.0143];[0.5122, 0.0071];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;backward_1;complex;100;0.5;1;gsbr;[49.096596813201906, 0.9339363982952433];[0.0119, 0.0];[0.012, 0.0];[0.0119, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5253, 0.0056];[0.5253, 0.0056];[0.5253, 0.0056];[0.5124, 0.0071];[0.5, 0.0];[0.5071, 0.0143];[0.5124, 0.0071];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;backward_1;complex;100;0.5;1;cdcr;[65.84616045951843, 1.5086350977776268];[0.0446, 0.0];[0.012, 0.0];[0.0484, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5774, 0.0103];[0.5245, 0.0058];[0.6014, 0.0153];[0.5102, 0.0037];[0.5, 0.0];[0.5, 0.0];[0.5107, 0.0031];[0.5, 0.0];[0.5, 0.0]
kinship_family;backward_1;complex;100;0.5;1;no_reasoner;[42.4407470703125, 1.856959856293092];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6106, 0.0021];[0.3339, 0.002];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2599, 0.0028];[0.5146, 0.0056];[0.0052, 0.0];[0.514, 0.0082];[0.5, 0.0];[0.5071, 0.0143];[0.5081, 0.014];[0.5, 0.0];[0.5, 0.0]
kinship_family;known;complex;100;0.5;1;rnm;[46.18693180084229, 1.7614434828432801];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5255, 0.0062];[0.5255, 0.0062];[0.5255, 0.0062];[0.5108, 0.0073];[0.5, 0.0];[0.5071, 0.0143];[0.5108, 0.0073];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;dcr;[56.982030630111694, 2.0074882724007614];[0.0264, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5397, 0.0062];[0.5253, 0.0062];[0.5253, 0.0062];[0.5107, 0.0073];[0.5, 0.0];[0.5071, 0.0143];[0.5107, 0.0073];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;r2n;[57.70014576911926, 2.4162836654135824];[0.0133, 0.0];[0.012, 0.0];[0.0146, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5241, 0.0064];[0.524, 0.0064];[0.5241, 0.0064];[0.5103, 0.007];[0.5, 0.0];[0.5071, 0.0143];[0.5103, 0.007];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;sbr;[46.273440504074095, 3.0122983400674537];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5255, 0.0062];[0.5255, 0.0062];[0.5255, 0.0062];[0.5108, 0.0073];[0.5, 0.0];[0.5071, 0.0143];[0.5108, 0.0073];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;gsbr;[48.47623224258423, 3.2513090118450245];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5255, 0.0062];[0.5255, 0.0062];[0.5255, 0.0062];[0.5108, 0.0072];[0.5, 0.0];[0.5071, 0.0143];[0.5108, 0.0072];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;cdcr;[62.43135724067688, 3.6508179407775874];[0.0264, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5397, 0.0062];[0.5254, 0.0062];[0.5254, 0.0062];[0.5103, 0.0072];[0.5, 0.0];[0.5071, 0.0143];[0.5103, 0.0072];[0.5, 0.0];[0.5071, 0.0143]
kinship_family;known;complex;100;0.5;1;no_reasoner;[43.16982545852661, 3.974367250609198];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6106, 0.0021];[0.3339, 0.002];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2599, 0.0028];[0.5146, 0.0056];[0.0052, 0.0];[0.514, 0.0082];[0.5, 0.0];[0.5071, 0.0143];[0.5081, 0.014];[0.5, 0.0];[0.5, 0.0]
pharmkg_small;backward_1;complex;100;0.5;1;rnm;[589.7828012943268, 6.832775506455989];[0.0356, 0.0039];[0.0356, 0.0039];[0.0356, 0.0039];[1.0, 0.0];[1.0, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.1914, 0.004];[0.1914, 0.004];[0.1914, 0.004];[0.5933, 0.0065];[0.54, 0.0066];[0.5943, 0.0052];[0.5933, 0.0065];[0.54, 0.0066];[0.5943, 0.0052]
pharmkg_small;backward_1;complex;100;0.5;1;dcr;[1767.6895849704742, 53.122138172313825];[1.5639, 0.0042];[0.0543, 0.004];[0.3896, 0.0046];[0.9992, 0.0003];[0.9984, 0.0007];[1.0, 0.0];[0.9987, 0.0006];[0.9977, 0.001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.6001, 0.0037];[0.1774, 0.0041];[0.3389, 0.0034];[0.6005, 0.0039];[0.5437, 0.0052];[0.6024, 0.0048];[0.601, 0.0035];[0.5424, 0.0048];[0.6054, 0.0048]